text,label
I feel safe at home,safe
Everything is normal and calm,safe
I am with my friends and relaxed,safe
Walking in a well lit area feels comfortable,safe
I am in a secure environment,safe
No suspicious activity around me,safe
I feel relaxed and happy,safe
This place is safe and peaceful,safe
I trust the people around me,safe
Nothing unusual is happening,safe
I am enjoying my time safely,safe
There are security guards nearby,safe
I am in a crowded safe place,safe
My surroundings are friendly,safe
I feel protected and secure,safe
I am not worried about anything,safe
Everything seems under control,safe
I am in a safe public place,safe
I feel comfortable here,safe
No danger around me,safe

Someone is following me,danger
I feel unsafe walking alone at night,danger
Help me I am in danger,danger
A stranger is behaving aggressively,danger
I think someone is stalking me,danger
I am scared and need help,danger
Someone is trying to attack me,danger
I feel threatened right now,danger
This area feels very unsafe,danger
There are suspicious people around me,danger
I think I might get kidnapped,danger
A man is trying to harass me,danger
I am being followed and watched,danger
I hear footsteps behind me constantly,danger
Someone is trying to break into my house,danger
I feel like I am being targeted,danger
This situation is dangerous,danger
I am alone and very scared,danger
Someone is chasing me,danger
I feel like something bad will happen,danger
I am trapped and cannot escape,danger
A group of people is behaving suspiciously,danger
I feel uncomfortable and threatened,danger
I am in a risky situation,danger
Help I need assistance immediately,danger
Someone is yelling at me aggressively,danger
I am being harassed on the street,danger
There is a person trying to harm me,danger
I feel like I am not safe here,danger
This place is dangerous at night,danger
I am being followed,danger
Someone is following me,danger
I think someone is behind me,danger
I feel like I am being watched,danger
A person is tracking me,danger
I am being stalked,danger
Someone is chasing me,danger